# TIER 1 Country Best Datasets - All Countries
# Generated:,2025-10-08 17:07:30

Country,Category,Dataset Name,Source/Provider,Resolution,Temporal Coverage,Update Frequency,Access,API Available,URL,Quality (1-5),Notes
Iran,SATELLITE IMAGERY (COMMERCIAL),Planet Labs,** Planet Labs,** Very good; unique advantage is daily revisit for monitoring; SkySat provides sub-meter resolution; ideal for change detection along pipeline routes[61][62],** Daily global coverage (PlanetScope) from 2016-present,"** Daily (PlanetScope), on-demand (SkySat)",** Commercial/subscription or purchase,** Yes - Planet API,** https://www.planet.com,3,
Iran,SATELLITE IMAGERY (COMMERCIAL),Capella Space (SAR),** Capella Space,** 25cm X-band SAR,** 2020-present,** On-demand tasking,** Commercial/purchase required,** Yes - Capella API,** https://www.capellaspace.com,4,** Good; all-weather/night capability; valuable for monitoring in cloudy regions or security-sensitive areas; penetrates cloud cover unlike optical sensors[62]
Iran,SATELLITE IMAGERY (COMMERCIAL),Free Baseline Imagery,,,,,,,,3,
Iran,SATELLITE IMAGERY (COMMERCIAL),Sentinel-2,** European Space Agency/Copernicus Programme,"** 10m (visible/NIR), 20m (red edge/SWIR), 60m (coastal/atmospheric)",** 2015-present,** 5-day revisit (2 satellites),"** Yes - Copernicus Open Access Hub API, Google Earth Engine, AWS Open Data",,** https://scihub.copernicus.eu or https://dataspace.copernicus.eu,5,** Excellent for free data; 13 spectral bands; systematic global coverage; sufficient for most land cover and change detection applications; essential free baseline for Iran[65][13][10]
Iran,SATELLITE IMAGERY (COMMERCIAL),Landsat 8/9,** NASA/USGS,"** 30m (multispectral), 15m (panchromatic), 100m (thermal)","** Landsat archive from 1972-present (Landsat 8: 2013-, Landsat 9: 2021-)",** 16-day revisit (combined 8-day with both satellites),** Open/free,"** Yes - USGS Earth Explorer API, Google Earth Engine, AWS Open Data",** https://earthexplorer.usgs.gov,5,** Very good; longest-running Earth observation program; thermal bands valuable for infrastructure monitoring; excellent for historical analysis[66][4]
Iran,SPECIAL DATASETS FOR IRAN,Seismic Hazard,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Iranian Seismic Hazard Zoning Map (Standard 2800),** Building and Housing Research Center (BHRC) / Iranian code authority,"** National map with 4 hazard zones (0.35g, 0.30g, 0.25g, 0.20g)",** Updated 2012-2014 (4th edition),** Irregular (as seismic code updates),** Included in Standard 2800; available through BHRC,** No,** https://www.dlubal.com/en/load-zones-for-snow-wind-earthquake/seismic-ir-2800.html (visualization),5,"** Excellent; official seismic design standard for Iran; includes GIS layers of faults, epicenters, strong motion records; critical for pipeline routing in one of world's most seismically active regions; ~70% of Iran in high hazard zone[67][68][69]"
Iran,SPECIAL DATASETS FOR IRAN,Iran Seismotectonic Province Maps,** Various Iranian research institutions / IIEES,** 19 seismotectonic provinces with detailed parameters,** Current seismic characterization,** Research-driven updates,** Via scientific publications and IIEES,** No,** https://www.iiees.ac.ir/en/,4,"** Very good; includes b-values, Mmax, seismogenic depth, Moho depth for each province; essential for probabilistic seismic hazard assessment[70][71][67]"
Iran,SPECIAL DATASETS FOR IRAN,Updated Fault Map of Iran,** International Institute of Earthquake Engineering and Seismology (IIEES),** National coverage with digitized active faults,** Updated 2011,** Periodic updates,** Available from IIEES,** No,** https://www.iiees.ac.ir/en/updated-fault-map-of-iran/,5,** Excellent; most comprehensive active fault database for Iran with digital files; essential for pipeline route avoidance of active faults[72]
Iran,SPECIAL DATASETS FOR IRAN,Archaeological/Cultural Heritage,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Iran Cultural Heritage Organization Sites Database,"** Iranian Cultural Heritage, Handicrafts and Tourism Organization (ICHTO)",** Individual site locations,** Current,** Ongoing as sites discovered/registered,** Restricted; some data via UNESCO for World Heritage Sites,** No,** Contact ICHTO directly,3,"** Most authoritative for Iran; includes registered archaeological sites, historical monuments, and culturally sensitive areas requiring avoidance[73][34]"
Iran,SPECIAL DATASETS FOR IRAN,NextGIS Cultural Heritage Dataset - Iran,** Wikimedia Foundation/OpenStreetMap compilation,** Point locations,** Current,** Community-driven,** Open/free,** Limited,** https://data.nextgis.com/en/region/IR/heritage/,3,** Moderate; useful for preliminary screening but incomplete compared to official ICHTO database; suitable for identifying major known sites[74]
Iran,SPECIAL DATASETS FOR IRAN,Archaeological Predictive Models,** Various research institutions,** Site-specific or regional studies,** Research-driven,** As studies published,** Via scientific publications,** No,** Research databases,3,"** Variable; GIS-based predictive modeling of archaeological site locations (e.g., northeastern Iran studies); useful for identifying high-probability areas requiring field survey[75][73]"
Iran,SPECIAL DATASETS FOR IRAN,Landslide/Geohazard,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Iran Landslide Inventory,** Geological Survey of Iran / research institutions,** Individual landslide mapping at various scales,** Compilation of historical landslides,** Event-driven updates,** Restricted/requires request from GSIr,** No,** Contact GSIr,4,"** Good where available; important for mountainous regions (Zagros, Alborz); essential for pipeline route risk assessment[67]"
Iran,SPECIAL DATASETS FOR IRAN,Military/Restricted Zones,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Iran Military/Security Zones,** Various government agencies (classified),** Zone boundaries,** Current,** As designations change,** Not accessible,** No,,3,** Authoritative but unavailable; must be obtained through official channels during formal project approvals; critical constraint for pipeline routing[1]
Iran,SPECIAL DATASETS FOR IRAN,Drought/Climate Risk,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Iran Drought Monitoring System,** IRIMO/Iran Water Resources Management Company,** Basin-scale monitoring,** Ongoing monitoring (historical records available),** Seasonal/monthly updates,** Partially available via IRIMO,** No,** Via IRIMO portal,4,** Good; critical for understanding water stress and environmental constraints; Iran faces severe drought conditions affecting ~70% of territory[47][18]
Iran,SPECIAL DATASETS FOR IRAN,Access Challenges:** Iran faces significant data access restrictions due to:,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,Recommendations:,,,,,,,,3,
Iran,SPECIAL DATASETS FOR IRAN,API Access Summary:** Best API availability through:,//www.fig.net/resources/proceedings/fig_proceedings/morocco/proceedings/TS2/TS2_6_baktash.pdf),,,,,//documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/DEM.html),,3,
Norway,Comprehensive inventory - Updated 2025-10-06 (Source: Perplexity Research),,,,,,,,,,
Norway,Category,Dataset Name,Source/Provider,Resolution/Scale,Temporal Coverage,Update Frequency,Access,API Available,URL,Quality (1-5),Notes
Norway,ELEVATION/TERRAIN (DEM),National High-Resolution DEM (NDH DTM1),** Kartverket (Norwegian Mapping Authority),"** Excellent - highest resolution national DEM, LiDAR-based terrain model with vertical reference NN2000 (EVRF2007 compatible)[1][2][3]",** 2016–present (ongoing acquisition),** Continuous (project covers most of Norway),** Open/Free,"** https://www.kartverket.no/en/api-and-data, https://www.geonorge.no",,3,
Norway,ELEVATION/TERRAIN (DEM),National DEM 10m (DTM10/DOM10),** Kartverket,** 10m × 10m,** Complete coverage (2018 version widely distributed),** Periodic updates,** Open/Free,** Yes - WMS/WFS via Geonorge,** https://www.geonorge.no,4,"** Very Good - complete nationwide coverage, LiDAR and photogrammetry-derived, suitable for regional analysis[2][3]"
Norway,ELEVATION/TERRAIN (DEM),Copernicus DEM (Best Global Option),** European Space Agency / Copernicus Programme,"** Good - global consistency, lower resolution than national products but complete coverage including offshore contexts[4][5]",** 2011–2015 (TanDEM-X mission data),** Static baseline,** Open/Free,** Yes - various download services,** https://land.copernicus.eu,3,
Norway,LAND COVER / LAND USE,AR-STAT Land Resource Map,** NIBIO (Norwegian Institute of Bioeconomy Research) / Statistics Norway (SSB),** High-resolution vector (cadastral parcel level),** Annual updates,** Annually,** Open/Free via Geonorge,"** https://www.ssb.no/en/natur-og-miljo/areal/statistikk/arealbruk-og-arealressurser, https://data.ssb.no/api",,5,"** Excellent - hierarchical classification system, integrates cadastral data, building footprints from FKB, road networks, highly detailed for Norway[6][7][8]"
Norway,LAND COVER / LAND USE,National Land Use Statistics,"** Very Good - official statistics, harmonized with European standards, integrates multiple authoritative sources[7][8]",** Vector - parcel and cadastral level,** Current,** Annually,** Open/Free,"** https://data.ssb.no/api, https://www.geonorge.no",,4,
Norway,LAND COVER / LAND USE,ESA WorldCover (Best Global),** European Space Agency,** 10m,** 2020–2021,** Annual,** Open/Free,** Yes,** https://worldcover.esa.int,4,"** Very Good - Sentinel-1 and Sentinel-2 based, 11 land cover classes, validated globally[5]"
Norway,LAND COVER / LAND USE,Copernicus Global Land Cover,** Copernicus Land Monitoring Service,** 10m (enhanced version),** 2015–present,** Annual,** Open/Free,** Yes,** https://land.copernicus.eu/en/products/global-dynamic-land-cover,4,** Very Good - enhanced spatial detail over previous 100m versions[5]
Norway,HYDROLOGY / WATER,National Hydrological Database (Hydra II),** NVE (Norwegian Water Resources and Energy Directorate),** Station-based time series and catchment networks,** Historical records (some >100 years) to present,** Real-time for many stations,** Open/Free,** Likely available (contact NVE),** https://www.nve.no/hydrology,5,"** Excellent - national reference dataset for climate studies, includes streamflow, groundwater, snow, glacier data, long-term quality-controlled records[9][10]"
Norway,HYDROLOGY / WATER,National River Network Database (REGINE),** NVE,"** Vector - detailed river segments, streams, lakes",** Current,** Periodic updates,** Open/Free via Geonorge,** Yes - INSPIRE-compliant WFS,"** https://www.geonorge.no, https://inspire-geoportal.ec.europa.eu",5,"** Excellent - complete coverage of watercourses including coastal fields, all elements (rivers, streams, lakes) geo-referenced[11][12]"
Norway,HYDROLOGY / WATER,Vann-Nett (Water Management Database),** Miljødirektoratet / NVE,** Waterbody polygons and networks,** Current,** Regular updates for WFD compliance,** Open/Free,** Via Geonorge services,"** https://www.miljodirektoratet.no, https://www.geonorge.no",4,"** Very Good - EU Water Framework Directive compliant, ecological condition assessments included[13][12]"
Norway,HYDROLOGY / WATER,Global Surface Water Explorer (Best Global),** European Commission Joint Research Centre,** 30m,"** Good - long-term temporal coverage, seasonal variations captured",** Annual,** Open/Free,** Yes - Google Earth Engine,** https://global-surface-water.appspot.com,3,
Norway,INFRASTRUCTURE - ROADS,National Road Database (NVDB),** Statens vegvesen (Norwegian Public Roads Administration),** Very detailed vector - centerline and regulation data,** Current,** Continuously updated,** Open/Free,** Yes - NVDB API v3 (XML/JSON),"** https://dataut.vegvesen.no/en/dataset/vegnett-og-vegregulering-i-nvdb, http://nvdbtransportportal.vegdata.no",5,"** Excellent - complete coverage of public, private, forest roads; includes attributes like height restrictions, road width, bridges, tunnels, speed limits[14][15][16]"
Norway,INFRASTRUCTURE - ROADS,OpenStreetMap Norway,** OpenStreetMap contributors,** Variable vector data,** Current,** Continuous community updates,** Open/Free (ODbL license),** Yes - Overpass API,** https://www.openstreetmap.org,4,"** Very Good - Norway is among the most complete OSM countries globally (>97% estimated road completeness), though POI data is less complete; Denmark/Norway/Iceland considered top-tier OSM coverage[17][18][19]"
Norway,INFRASTRUCTURE - ROADS,Commercial Providers,,,,,,,,5,** Excellent but expensive; unnecessary given high-quality open Norwegian data
Norway,INFRASTRUCTURE - RAILWAYS,National Railway Network Dataset,** Bane NOR SF,** Geographic reference lines (linear referencing system),** Current,** Annually,** Open/Free via Geonorge,"** https://www.geonorge.no, https://inspire-geoportal.ec.europa.eu/srv/api/records/c3da3591-cded-4584-a4b1-bc61b7d1f4f2",,5,"** Excellent - official national railway infrastructure reference network, INSPIRE-compliant, suitable for linear positioning[20][21]"
Norway,INFRASTRUCTURE - RAILWAYS,OpenStreetMap Railways,** OpenStreetMap contributors,** Vector,** Current,** Community-driven,** Open/Free,** Yes - Overpass API,** https://www.openstreetmap.org,4,"** Good - reasonable coverage in Norway, but official Bane NOR data is more authoritative[19]"
Norway,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",National Electricity Transmission Data,** Various operators / NVE (regulatory oversight),** Variable,** Current,** Unknown,** Restricted/requires request (limited public availability),** Unknown,** Contact NVE or individual operators,3,** Unknown - data availability limited for security reasons
Norway,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",OpenInfraMap / OpenStreetMap,** OpenStreetMap contributors,** Vector,** Current,** Community-driven,** Open/Free,** Yes - Overpass API,"** https://openinframap.org, https://www.openstreetmap.org",3,"** Moderate - incomplete for utilities in Norway, attribute completeness low (~5-13% for industrial facilities)[17]"
Norway,INFRASTRUCTURE - PIPELINES,Norwegian Gas Transport System,** Gassco (operator) / Gassled (owner),** Pipeline routes and facilities,** Current,** As infrastructure changes,"** Excellent data exists but access is restricted; interactive maps show ~8,800 km of pipelines, major platforms, but detailed GIS layers require dire",** No public API,"** https://www.norskpetroleum.no/en/production-and-exports, https://gassco.eu/en/about-us/where-we-are/pipelines-and-platforms",5,
Norway,INFRASTRUCTURE - PIPELINES,National Pipeline Registry,** Government / petroleum authorities,** Unknown,** Current,** Unknown,** Restricted/requires formal request,** No,** Contact Norwegian Petroleum Directorate,3,** Unknown public availability
Norway,INFRASTRUCTURE - PIPELINES,OpenStreetMap Pipelines,** OpenStreetMap contributors,** Vector,** Current,** Limited,** Open/Free,** Yes - Overpass API,** https://www.openstreetmap.org,2,** Poor - typically very incomplete for pipeline infrastructure due to security and proprietary concerns[19]
Norway,PROTECTED AREAS / ENVIRONMENTAL,National Protected Areas Database,** Miljødirektoratet (Norwegian Environment Agency),** Polygon boundaries,** Current (includes historical protection laws from 1910 onwards),** Regular updates as new areas designated,** Open/Free,** Yes - WMS/WFS via Geonorge/Miljødirektoratet,"** https://kartkatalog.miljodirektoratet.no/dataset/Details/0, https://www.geonorge.no",5,"** Excellent - official national dataset covering terrestrial and marine protected areas under multiple protection laws, links to legal regulations, managed by County Governors and National Park Boards[25][26][27]"
Norway,PROTECTED AREAS / ENVIRONMENTAL,Ramsar Sites,** Miljødirektoratet,** Polygon boundaries,** Current,** As designated,** Open/Free,** Via Geonorge,** https://kartkatalog.miljodirektoratet.no,5,** Excellent - internationally recognized wetlands[26]
Norway,PROTECTED AREAS / ENVIRONMENTAL,World Database on Protected Areas (WDPA),"** Very Good - global standard, includes Norwegian data but national sources are more current[25]",** Polygon boundaries,** Current,** Monthly,** Open/Free,** Yes,** https://www.protectedplanet.net,4,
Norway,GEOLOGY / SOIL,National Geological Datasets,** NGU (Geological Survey of Norway),"** Excellent - comprehensive bedrock geology, Quaternary deposits, high-resolution aeromagnetic/electromagnetic/radiometric surveys (particularly nort",** Current and historical mapping,** Ongoing mapping programs,** Open/Free via Geonorge,"** Yes - WMS/WFS, Atom feed download service","** https://www.ngu.no/en/geologiske-kart/datasett, https://www.geonorge.no",3,
Norway,GEOLOGY / SOIL,National Soil Maps,"** Very Good - agricultural focus, integrated with land resource mapping",** Variable (regional to national),** Current,** Periodic updates,** Open/Free via Geonorge,** Via Geonorge services,** https://www.geonorge.no,4,
Norway,GEOLOGY / SOIL,Marine Geology (MAREANO),** NGU / MAREANO program,** High-resolution seabed mapping,** 2006–present (ongoing),** Ongoing surveys,** Open/Free,** Yes - map services,** https://www.mareano.no/en/maps-and-data/geological-data,5,"** Excellent - detailed seafloor geology, critical for offshore pipeline routing[32]"
Norway,GEOLOGY / SOIL,FAO Harmonized World Soil Database (Best Global),** Static (compiled from various sources),"** Moderate - coarse resolution, national data superior for Norway",,** Periodic revisions,** Open/Free,** No,** https://www.fao.org,3,
Norway,CLIMATE / WEATHER,MET Norway Weather API,"** Excellent - authoritative national source, 1 km resolution weather model for North Europe, comprehensive historical climate data via Frost API, real-time observations, satellite data[33][34][35][36","** 1 km (MET Nordic model), station data, various products","** Historical archives, real-time, forecasts","** Hourly updates for forecasts, continuous for observations",** Open/Free (CC BY 4.0 / NLOD license),"** https://api.met.no, https://frost.met.no (historical/climate data)",,5,
Norway,CLIMATE / WEATHER,THREDDS Data Server,** MET Norway,"** Gridded atmospheric, ocean, wave data",** Various,** Regular,** Open/Free,"** Yes - OPeNDAP, NetCDF format",** https://thredds.met.no,5,** Excellent - full-field data across larger areas[36]
Norway,CLIMATE / WEATHER,ERA5 Reanalysis (Best Global Historical),** ECMWF / Copernicus Climate Change Service,"** Excellent - global coverage, hourly temporal resolution, comprehensive atmospheric variables",** 1940–present,** Near real-time (5-day lag),** Open/Free,** Yes - Climate Data Store API,** https://cds.climate.copernicus.eu,3,
Norway,CLIMATE / WEATHER,WorldClim (Global Climatology),** WorldClim.org,** 1 km (30 arc-seconds),"** 1970–2000 baseline, future projections available",** Static climatologies,** Open/Free,** No - direct download,** https://www.worldclim.org,4,** Very Good - standard for species distribution modeling and climate analysis
Norway,ADMINISTRATIVE BOUNDARIES,Official Administrative Boundaries,"** Excellent - official legal boundaries for municipalities, counties, cadastral parcels, property boundaries, most authoritative source[38][39][1]",** Vector - precise legal boundaries,** Current,** As administrative changes occur,** Open/Free,"** https://www.geonorge.no, https://www.kartverket.no/en/api-and-data",,5,
Norway,ADMINISTRATIVE BOUNDARIES,GADM (Global Administrative Areas),** GADM,** Vector - multiple administrative levels,** Current,** Periodic updates,** Open/Free (non-commercial use),** No - direct download,** https://gadm.org,4,** Good - global consistency but Norwegian official data is more accurate and current
Norway,POPULATION / DEMOGRAPHICS,National Census Data,** Statistics Norway (SSB),"** Municipality level, grid cells available",** Historical census data to present,"** Annual population estimates, census every 10 years",** Open/Free,"** https://data.ssb.no/api, https://www.ssb.no",,5,"** Excellent - official national statistics, most authoritative for Norway[8][7]"
Norway,POPULATION / DEMOGRAPHICS,WorldPop (Best Global),** Open/Free (various licenses depending on data source),"** Very Good - high-resolution gridded population, integrates building footprints and satellite data[40][41]",** 2000–2020 (annual),"** Annual historical, periodic updates",,** Limited,** https://hub.worldpop.org,3,
Norway,POPULATION / DEMOGRAPHICS,LandScan Global,** Oak Ridge National Laboratory (US),** ~1 km,** 2000–present (annual),** Annual,"** Very Good - ambient population distribution (24-hour average), industry standard but access restricted[42]",** No,** https://landscan.ornl.gov,4,
Norway,SATELLITE IMAGERY,Sentinel-2 (Free Baseline),** European Space Agency / Copernicus Programme,"** 10m (visible/NIR), 20m (red-edge/SWIR), 60m (atmospheric)","** Excellent - free multispectral imagery, high temporal frequency, suitable for vegetation/land cover analysis, Norway has dedicated Copernicus Glaci",** 5-day revisit (2 satellites),"** Yes - Copernicus Open Access Hub, Google Earth Engine",,"** https://scihub.copernicus.eu, https://earthengine.google.com",3,
Norway,SATELLITE IMAGERY,"Maxar (WorldView, GeoEye)",** Maxar Technologies,"** Excellent - highest commercial resolution, costly",** Archive and tasking,** On-demand tasking,** Commercial/purchase,** Yes - via commercial platforms,** https://www.maxar.com,3,
Norway,SATELLITE IMAGERY,"Airbus Intelligence (Pléiades, SPOT)",** Airbus Defence and Space,** Excellent - high-resolution commercial imagery,** Archive and tasking,** On-demand,** Commercial/purchase,** Yes - via OneAtlas platform,** https://www.intelligence-airbusds.com,3,
Norway,SATELLITE IMAGERY,Planet Labs,** Planet Labs,"** Very Good - unique daily revisit capability, lower resolution than competitors",** 2016–present (daily coverage),** Daily global coverage,** Commercial/purchase (some free education/research),** Yes - Planet API,** https://www.planet.com,3,
Norway,SATELLITE IMAGERY,National Orthophotos,** Kartverket,"** Excellent - highest resolution national coverage, most detailed free orthophotos may require purchase[44]",** Periodic aerial surveys,** Multi-year cycles,"** Some free, detailed orthophotos may require purchase",** https://www.kartverket.no/en/api-and-data/order-geospatial-data,,3,
Norway,SPECIAL DATASETS FOR NORWAY,National Landslide Susceptibility Maps,** NVE / NGU,"** Catchment level (debris flows, debris slides) and site-specific (rock avalanches)","** Current (2014 national map, continuously updated)",** Ongoing updates,** Open/Free via NVE Atlas,** Map services available,"** https://www.nve.no/hydrology, NVE Atlas, https://www.ngu.no",5,"** Excellent - national susceptibility maps for landslides in soils (4 classes: low to very high), quick clay slides, rock fall hazards, debris avalanche susceptibility; critical for pipeline routing in mountainous terrain[45][46][47][48]"
Norway,SPECIAL DATASETS FOR NORWAY,Unstable Rock Slope Database,** NGU,** Site-specific polygons and monitoring data,** Current,** Ongoing monitoring,** Open/Free,** Map services,"** https://www.ngu.no, viewable via web applications",5,"** Excellent - systematic mapping of potentially catastrophic rock slopes, 3D visualization available, critical safety data[47][49]"
Norway,SPECIAL DATASETS FOR NORWAY,Quick Clay (Kvikkleire) Maps,** NGU / NVE,** Variable scales (municipal to site-specific),** Current,** Ongoing mapping,** Open/Free via NVE Atlas,** Via map services,"** NVE Atlas, https://www.ngu.no",5,"** Excellent - critical for construction in sensitive clay areas, unique Norwegian hazard[46]"
Norway,SPECIAL DATASETS FOR NORWAY,Archaeological/Cultural Heritage Sites,** Directorate for Cultural Heritage / Riksantikvaren,** Point and polygon features,** Current,** Ongoing registration,** Restricted for sensitive sites / Open for general heritage,** Limited,** Contact Riksantikvaren,4,"** Very Good - nationwide LiDAR-based automated detection underway, important for regulatory compliance[50]"
Norway,SPECIAL DATASETS FOR NORWAY,Avalanche Hazard Data,** NVE,** Catchment and zone-specific,** Current,** Continuous for warning service,** Open/Free via Varsom.no,** Likely available,"** https://www.varsom.no, https://www.nve.no",5,"** Excellent - operational national warning service for snow avalanches, critical for mountain pipeline routes[9]"
Norway,SPECIAL DATASETS FOR NORWAY,Permafrost and Ground Ice Data,** NGU / University research groups,** Regional models and site-specific,** Current,** Research-dependent,** Variable (contact researchers),** No,** Contact NGU,3,"** Moderate - limited coverage, mainly northern Norway and mountain areas"
Norway,SPECIAL DATASETS FOR NORWAY,Seismic Hazard Data,** NORSAR / NGU,** Regional hazard zones,** Current seismic model,** Periodic updates,** Open (general maps) / Restricted (detailed),** No,** https://www.norsar.no,4,"** Good - Norway has relatively low seismicity, mapped zones available"
Norway,SPECIAL DATASETS FOR NORWAY,Marine Protected Areas,** Miljødirektoratet / Fiskeridirektoratet,** Polygon boundaries,** Current,** As designated,** Open/Free,** Via Geonorge,** https://kartkatalog.miljodirektoratet.no,5,** Excellent - 36 first areas in national marine protection plan mapped[26]
Norway,SPECIAL DATASETS FOR NORWAY,Reindeer Husbandry Areas (Sami Indigenous Lands),** Reindrift/agricultural authorities,** Administrative boundaries,** Current,** As agreements change,** Open via Geonorge,** Via Geonorge services,** https://www.geonorge.no,4,** Very Good - legally designated areas requiring consultation
Norway,SPECIAL DATASETS FOR NORWAY,Military Restricted Areas,** Norwegian Defence,** Zone boundaries,** Current,** As restrictions change,** Restricted information / Basic zones public,** No,** Contact Norwegian Defence authorities,3,** Limited public detail
Norway,SPECIAL DATASETS FOR NORWAY,Geonorge** (https://www.geonorge.no) is Norway's central geospatial data portal and should be the fi,,,,,,,,3,
Norway,SPECIAL DATASETS FOR NORWAY,"Norway Digital** is the national SDI framework coordinating data sharing across agencies, ensuring I",,,,,,//inspire-geoportal.ec.europa.eu/srv/api/records/c3da3591-cded-4584-a4b1-bc61b7d1f4f2),,3,
Russia,Comprehensive inventory - Updated 2025-10-06 (Source: Perplexity Research),,,,,,,,,,
Russia,Category,Dataset Name,Source/Provider,Resolution/Scale,Temporal Coverage,Update Frequency,Access,API Available,URL,Quality (1-5),Notes
Russia,ELEVATION/TERRAIN (DEM),National Sources,,,,,,,,3,
Russia,ELEVATION/TERRAIN (DEM),Rosreestr Unified Digital Basemap (UDB),"** Federal Service for State Registration, Cadastre and Cartography (Rosreestr)[1][2]","** High resolution for developed areas, comprehensive national coverage with legal significance as state cartographic basis[2]",** Current (continuously updated)[2],** Continuous updates through State Information System[2],** Restricted/requires request through official channels[3][1],** Yes - OGC-compliant cartographic services available[2],** https://rosreestr.gov.ru / http://geoportal.rosreestr.ru/[1],3,
Russia,ELEVATION/TERRAIN (DEM),Global DEMs (Best for Russia),,,,,,,,3,
Russia,ELEVATION/TERRAIN (DEM),Copernicus DEM (Recommended),** Superior accuracy to SRTM (RMSE 2.19-5.72m vs 3.95-6.10m for SRTM); more consistent globally with virtually seamless source[6][7][5],** 30m (GLO-30) and 90m (GLO-90) resolution[5][4],** Based on 2011-2015 data[4],** Static baseline[4],** Open/free[4],** Yes - available through Copernicus Data Space Ecosystem[4],** https://dataspace.copernicus.eu/,3,
Russia,ELEVATION/TERRAIN (DEM),SRTM (Shuttle Radar Topography Mission),** Good baseline coverage for Russia; some voids filled by alternative sources; less accurate than Copernicus DEM[10][9],** 30m (1 arc-second) and 90m (3 arc-second)[9][8],** February 2000[9],** Static[8],** Open/free[8],** Yes - through USGS EarthExplorer API[8],** https://earthexplorer.usgs.gov,4,
Russia,ELEVATION/TERRAIN (DEM),ASTER GDEM,** USGS / Japan METI[8],** 30m (1 arc-second)[8],** 2000-2013[8],** Static (version 3 released)[8],** Open/free[8],** Yes - through AppEEARS[8],** https://appeears.earthdatacloud.nasa.gov/,3,** Generally less accurate than Copernicus DEM and SRTM for Russia; useful as supplementary data[10]
Russia,LAND COVER / LAND USE,National Sources,,,,,,,,3,
Russia,LAND COVER / LAND USE,Russian Land Cover/Land Use Maps,** Moscow State University Faculty of Geography / INTAS[11][12],** Variable (coarse to high resolution)[11],** Historical baselines available[11],** Project-based[11],** Restricted/academic access[11],** No[11],** Contact Moscow State University Geography Faculty,3,** Comprehensive but dated; combines remote sensing with statistical data[12][11]
Russia,LAND COVER / LAND USE,Global Sources (Best for Russia),,,,,,,,3,
Russia,LAND COVER / LAND USE,ESA WorldCover (Recommended),** European Space Agency WorldCover Consortium[13][14],** Excellent resolution and accuracy; 11 distinct land cover classes based on Sentinel-1 and Sentinel-2[13][14],** 2020 and 2021 products available[15][13],** Annual updates planned[14],** Open/free (CC-BY-4.0)[13][14],** Yes - Google Earth Engine[16][13],** https://esa-worldcover.org,3,
Russia,LAND COVER / LAND USE,Google Dynamic World,** Google / World Resources Institute[17][18],** 10m resolution[18][17],** 2015-present (near real-time)[17],** Every 2-5 days[19][17],** Open/free[18][17],** Yes - Google Earth Engine[17][18],** https://dynamicworld.app,3,** Near real-time updates with per-pixel probabilities across 9 land cover classes; based on Sentinel-2[18][17]
Russia,HYDROLOGY / WATER,Global Sources (Primary for Russia),,,,,,,,3,
Russia,HYDROLOGY / WATER,HydroSHEDS / HydroATLAS,** WWF / McGill University[20][21],** 15 arc-seconds (~500m)[22][21],** Multi-temporal compilation[21],** Periodic updates[20],** Open/free (CC-BY 4.0)[23],** Yes - available through Google Earth Engine[24],** https://www.hydrosheds.org,3,"** Comprehensive global hydrographic database with 56 variables across 281 attributes; includes river networks, sub-basins, and catchment characteristics[21]"
Russia,HYDROLOGY / WATER,HydroLAKES,** McGill University / HydroSHEDS project[23][24],** Lakes ≥10 ha surface area[23],** Global compilation[23],** Version 1.1 available[22],** Open/free (CC-BY 4.0)[23],** Yes - Google Earth Engine[24],** https://www.hydrosheds.org/products/hydrolakes,3,** 1.4 million lakes globally with geometric attributes; fully integrated with HydroATLAS[25][23]
Russia,HYDROLOGY / WATER,Global Surface Water Explorer,** European Commission Joint Research Centre[26],** 30m resolution[26],** 1984-present[26],** Annual updates[26],** Open/free[26],** Yes - Google Earth Engine,** https://global-surface-water.appspot.com,5,** Long-term surface water occurrence and change detection; excellent for understanding water dynamics[26]
Russia,INFRASTRUCTURE - ROADS,National Sources,,,,,,,,3,
Russia,INFRASTRUCTURE - ROADS,Rosreestr Road Network Data,** Official state mapping; most authoritative source but access restricted[1][2],"** 1:10,000 to 1:100,000[1][2]",** Current[2],** Continuous[2],** Restricted/requires formal request[3][1],** Yes - OGC standards through geoportal[2],** http://geoportal.rosreestr.ru/,3,
Russia,INFRASTRUCTURE - ROADS,Open Source,,,,,,,,3,
Russia,INFRASTRUCTURE - ROADS,OpenStreetMap Russia,** OpenStreetMap Community[27][28],** Variable (depends on contributor mapping)[28],** Current (continuously updated)[28],** Real-time community updates[28],** Open/free (ODbL license)[29],** Yes - Overpass API[29],** https://www.openstreetmap.org,2,** Highly variable quality across Russia; significantly lower network density than Western cities; underdeveloped street network in many regions[27][28]
Russia,INFRASTRUCTURE - RAILWAYS,National Sources,,,,,,,,3,
